Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-2,,2624-CTG_W0102_NE_1,Sep-24,3-ISV3,1(CTG_X0749_NE_1),,2627-CTG_X0749_NE_1,Sep-27,3-ISV3,1(CTG_W0102_NE_1),Hybrid(136Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"5E1,28MHz,64QAM","5E1,28MHz,64QAM",8,8,14,14,-10,-10,-45.3,-44.9,18,20.1,14,14,-45.3,-44.9,-82.6,-63.9,5,5,0,0,0,0,124.819,124.819,78073,35132,792,0,19192,5112,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,64QAM,64QAM,QPSKStrong,QPSKStrong,/,/,/,/,1772,-
l-51,,2167-CTG_X0090_NE_1,Sep-67,4-ISV3,1(CTG_X0097_NE_2),,2767-CTG_X0097_NE_2,Sep-67,3-ISV3,1(CTG_X0090_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"2E1,28MHz,1024QAMLight","2E1,28MHz,1024QAMLight",13,13,0.3,1,-44,-44,-44.3,-44.7,0.3,1,0.1,0.6,-44.1,-44.4,-44.5,-44.8,2,2,2,2,100,100,223.248,223.248,58480,19914,549,505,26349,8810,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1773,-
l-52,,2167-CTG_X0090_NE_1,Sep-67,6-ISV3,1(CTG_X0097_NE_2),,2767-CTG_X0097_NE_2,Sep-67,5-ISV3,1(CTG_X0090_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"2E1,28MHz,1024QAMLight","2E1,28MHz,1024QAMLight",13,13,-55,-55,-10,-10,-43.7,-43.5,-55,-55,-55,-55,-43.7,-43.2,-44.1,-43.6,2,2,0,0,0,0,223.248,223.248,57227,20535,546,526,26348,8810,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1774,-
l-2,,2782-CTG_X0487_NE_1,Sep-82,3-ISV3,1(CTG_X0343_NE_1),,2787-CTG_X0343_NE_1,Sep-87,9-ISV3,1(CTG_X0487_NE_1),Hybrid(45Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15141.5,14721.5,"19E1,7MHz,512QAM","19E1,7MHz,512QAM",10,10,4.5,3.5,-10,-10,-45.7,-45.8,4.5,3.5,4.4,3.3,-45.3,-44.1,-46.8,-45.8,19,19,1,1,5.26,5.26,5.775,5.775,0,0,0,0,0,0,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,256QAM,256QAM,/,/,/,/,1775,-
l-1,,2626-CTG_X0101_NE_1,Sep-26,3-ISV3,1(CTG_X0031_NE_1),,2609-CTG_X0031_NE_1,Sep-09,5-ISV3,1(CTG_X0101_NE_1),Hybrid(101Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"2E1,14MHz,512QAMLight","2E1,14MHz,512QAMLight",0,0,0,0,-10,-10,-35.9,-32.6,0.1,0.1,0,0,-35.9,-32.3,-36.9,-32.6,2,2,0,0,0,0,95.996,95.996,50563,11854,163,122,15782,3678,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1776,-
ring 01,,2786-CTG_X0390_NE_1,Sep-86,4-ISV3,1(CTG_X0481_NE_1),,2789-CTG_X0481_NE_1,Sep-89,3-ISV3,1(CTG_X0390_NE_1),Hybrid(43Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7999.5,8265.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",14,14,6.6,6.5,-10,-10,-47.2,-47.1,6.8,6.6,6.5,6.3,-46.5,-46.6,-47.2,-47.1,0,0,0,0,-,-,42.269,42.269,5513,24184,141,83,1647,5666,Enabled,Enabled,-56.5,-56.5,-61.5,-61.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1779,-
ring 01,,2786-CTG_X0390_NE_1,Sep-86,6-ISV3,1(CTG_X0481_NE_1),,2789-CTG_X0481_NE_1,Sep-89,5-ISV3,1(CTG_X0390_NE_1),Hybrid(43Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7999.5,8265.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",14,14,-55,-55,-10,-10,-48.2,-46.6,-55,-55,-55,-55,-46.7,-45.8,-48.2,-46.6,0,0,0,0,-,-,42.269,42.269,5487,22102,139,75,1647,5665,Enabled,Enabled,-56.5,-56.5,-61.5,-61.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1780,-
l-18,,2943-CTG_X0331_NE_1,Sep-43,3-ISV3,1(CTG_X9013_NE_1),,2946-CTG_X9013_NE_1,Sep-46,7-ISV3,1(CTG_X0331_NE_1),Hybrid(217Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10989,11519,"3E1,28MHz,1024QAM","3E1,28MHz,1024QAM",19,19,10.9,10,-10,-10,-43.4,-42.3,11,12,10.9,10,-41.6,-42.3,-43.4,-44,3,3,1,1,33.33,33.33,210.426,210.426,80524,19192,2624,1223,29820,8024,Enabled,Enabled,-41,-41,-46,-46,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,/,/,/,1782,-
l-20,,2941-CTG_X0817_NE_1,Sep-41,3-ISV3,1(CTG_X9013_NE_1),,2946-CTG_X9013_NE_1,Sep-46,11-ISV3,1(CTG_X0817_NE_1),Hybrid(217Mbit/s),-,1+1(HSB),1+1(HSB),1,2,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,1024QAM","0E1,28MHz,1024QAM",18,18,17.9,17.9,-10,-10,-46.4,-45.3,18,18,17.9,17.9,-38.7,-38.7,-46.4,-45.3,0,0,0,0,-,-,216.664,216.664,77718,16557,670,638,23402,6651,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,/,/,/,1783,-
l-19,,2940-CTG_X0474_NE_1,Sep-40,4-ISV3,1(CTG_X9013_NE_1),,2946-CTG_X9013_NE_1,Sep-46,8-ISV3,1(CTG_X0474_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,8003,8269,"2E1,28MHz,1024QAMLight","2E1,28MHz,1024QAMLight",24,24,15,15.9,-10,-10,-44.1,-44.1,17.1,17.1,11,13,-42.1,-42.3,-45.9,-46.5,2,2,1,1,50,50,223.248,223.248,74215,17200,702,525,18768,4945,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,/,/,/,/,1789,-
l-1,,3079-CTG_X0482_NE_1,Sep-79,3-ISV3,1(CTG_X0114_NE_1),,2959-CTG_X0114_NE_1,Sep-59,7-ISV3,1(CTG_X0482_NE_1),Hybrid(242Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17975,18985,"2E1,28MHz,2048QAM","2E1,28MHz,2048QAM",11,11,0,0.6,-10,-10,-46.1,-47.2,2.1,0.6,0,0,-46.1,-45.3,-49.6,-49.4,2,2,1,1,50,50,236.91,236.91,188951,48868,2875,2152,84455,22539,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,2048QAM,2048QAM,QPSKStrong,QPSKStrong,/,/,/,/,1791,-
l-7,,3080-CTG_X0770_NE_1,Sep-80,3-ISV3,1(CTG_X0114_NE_1),,2959-CTG_X0114_NE_1,Sep-59,8-ISV3,1(CTG_X0770_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11446,10916,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",22,22,8.9,9,-10,-10,-45.8,-45.8,13.1,12,8.9,7.9,-43,-43.2,-47.9,-47.7,0,0,0,0,-,-,108.702,108.702,59364,11876,361,231,18259,4460,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1792,-
Ring02,,3077-CTG_X0385_NE_1,Sep-77,3-ISV3,1(CTG_X0114_NE_1),,2959-CTG_X0114_NE_1,Sep-59,9-ISV3,1(CTG_X0385_NE_1),Hybrid(242Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10989,11519,"0E1,28MHz,2048QAM","0E1,28MHz,2048QAM",22,22,18,18,-10,-10,-46.2,-47.3,18,18,10,12,-45.1,-45,-49.6,-49.9,0,0,0,0,-,-,241.045,241.045,181417,42699,6737,2559,89473,20526,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,2048QAM,2048QAM,QPSKStrong,QPSKStrong,/,/,/,/,1793,-
Ring02,,3078-CTG_X0701_NE_1,Sep-78,5-ISV3,1(CTG_G1812_NE_1),,3081-CTG_G1812_NE_1,Sep-81,3-ISV3,1(CTG_X0701_NE_1),Hybrid(196Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15124,14704,"4E1,28MHz,512QAM","4E1,28MHz,512QAM",12,12,6.5,6.6,-10,-10,-49.3,-51.5,8.1,7.1,6.5,6.6,-49.3,-50,-52.5,-51.5,4,4,3,3,75,75,187.363,187.363,14,0,8,0,10,0,Enabled,Enabled,-48,-48,-53,-53,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,/,/,/,/,1794,-
Ring02,,3078-CTG_X0701_NE_1,Sep-78,3-ISV3,1(CTG_X0385_NE_1),,3077-CTG_X0385_NE_1,Sep-77,5-ISV3,1(CTG_X0701_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15124,14704,"4E1,28MHz,256QAM","4E1,28MHz,256QAM",17,17,10.4,10.5,-10,-10,-47.6,-47.9,11.5,10.5,10.4,10.4,-47.4,-46.8,-49.4,-48.5,4,4,3,3,75,75,174.176,174.176,33849,6796,122,53,4263,1097,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1795,-
l-1,,3082-CTG_G1110_NE_1,Sep-82,3-ISV3,1(CTG_X0770_NE_1),,3080-CTG_X0770_NE_1,Sep-80,5-ISV3,1(CTG_G1110_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14700.5,15120.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",21,21,4,4,-10,-10,-46.6,-46.9,10.1,7.8,2,-0.5,-45.3,-45.6,-50,-54,0,0,0,0,-,-,53.699,53.699,37351,7948,167,109,9853,2474,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1796,-
BSC protection,,2957-CTG_X0523_NE_1,Sep-57,5-ISV3,1(CTG_X0333_NE_1),,2956-CTG_X0333_NE_1,Sep-56,9-ISV3,1(CTG_X0523_NE_1),Hybrid(210Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17947.5,18957.5,"7E1,28MHz,512QAMLight","7E1,28MHz,512QAMLight",15,15,7.5,8.6,-10,-10,-48.4,-48.3,7.5,8.6,6.5,7.6,-48.4,-48.3,-49.5,-50.2,7,7,2,2,28.57,28.57,194.847,194.847,36398,5844,1227,171,6590,1561,Enabled,Enabled,-46,-46,-51,-51,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1797,-
BSC protection,,2954-CTG_X0419_NE_1,Sep-54,5-ISV3,1(CTG_X0333_NE_1),,2956-CTG_X0333_NE_1,Sep-56,7-ISV3,1(CTG_X0419_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11439,10909,"2E1,28MHz,128QAM","2E1,28MHz,128QAM",22,22,5,6,-10,-10,-55.3,-56.6,7.1,6,5,5.2,-54.8,-53.4,-56.6,-56.6,2,2,2,2,100,100,155.77,155.77,0,0,0,0,0,0,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,1802,-
l-8,,3084-CTG_X0325_NE_1,Sep-84,3-ISV3,1(CTG_X0487_NE_1),,2782-CTG_X0487_NE_1,Sep-82,4-ISV3,1(CTG_X0325_NE_1),Hybrid(196Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"3E1,28MHz,512QAM","3E1,28MHz,512QAM",20,20,21,12,-10,-10,-55,-45.9,21.1,/,17.6,/,-54.4,/,-58.5,/,3,3,1,1,33.33,33.33,189.441,189.441,104346,0,1012,0,33671,0,Enabled,Enabled,-54,-45,-59,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,16QAM,16QAM,/,/,/,/,1805,-
l-9,,3084-CTG_X0325_NE_1,Sep-84,5-ISV3,1(CTG_X0487_NE_1),,2782-CTG_X0487_NE_1,Sep-82,6-ISV3,1(CTG_X0325_NE_1),Hybrid(196Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"3E1,28MHz,512QAM","3E1,28MHz,512QAM",20,20,-55,11.5,-10,-10,-55.1,-47.1,-55,11.5,-55,9.5,-54.5,-45.4,-58.5,-53.5,3,3,0,0,0,0,189.441,189.441,107086,27685,1018,946,33671,8866,Enabled,Enabled,-54,-45,-59,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,16QAM,16QAM,/,/,/,/,1806,-
l-4,,2783-CTG_X0735_NE_1,Sep-83,3-ISV3,1(CTG_X0343_NE_1),,2787-CTG_X0343_NE_1,Sep-87,8-ISV3,1(CTG_X0735_NE_1),Hybrid(52Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15134.5,14714.5,"0E1,7MHz,1024QAM","0E1,7MHz,1024QAM",7,7,13,13,-10,-10,-45.8,-45.8,13,13,12.5,12.5,-45.8,-45.8,-46.6,-46.7,0,0,0,0,-,-,51.142,51.142,39048,7784,128,120,7988,2063,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,/,/,/,1807,-
l-1,,3035-CTG_X0736_NE_1,Sep-35,3-ISV3,1(CTG_X0738_NE_1),,3034-CTG_X0738_NE_1,Sep-34,5-ISV3,1(CTG_X0736_NE_1),Hybrid(136Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17975,18985,"16E1,28MHz,64QAM","16E1,28MHz,64QAM",17,17,7.5,7.8,-33.3,-33.3,-45.1,-43.9,7.6,7.8,7.5,7.4,-45.1,-43.9,-46.3,-46.2,16,16,12,12,75,75,101.997,101.997,54015,23070,354,534,16675,4482,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,64QAM,64QAM,QPSKStrong,QPSKStrong,/,/,/,/,1809,-
l-2,,3034-CTG_X0738_NE_1,Sep-34,3-ISV3,1(CTG_X0752_NE_1),,3036-CTG_X0752_NE_1,Sep-36,5-ISV3,1(CTG_X0738_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18950.63,17940.63,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",17,17,11,11.6,-10,-10,-45.7,-47.5,11.4,11.6,11,11.5,-45.4,-44.7,-47.1,-47.5,0,0,0,0,-,-,88.203,88.203,11645,50417,105,152,2535,10782,Enabled,Enabled,-42.5,-42.5,-47.5,-47.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,/,/,/,/,1810,-
l-4,,3086-CTG_R1748_NE_1,Sep-86,3-ISV3,1(CTG_X0325_NE_1),,3084-CTG_X0325_NE_1,Sep-84,4-ISV3,1(CTG_R1748_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38377.5,37117.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",7,7,1,3,-10,-10,-47.3,-47.6,2.1,3,1,2.5,-47.3,-46.8,-47.9,-47.6,0,0,0,0,-,-,53.699,53.699,33702,7837,116,144,5191,1224,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,1812,-
ring 01,,2787-CTG_X0343_NE_1,Sep-87,11-ISV3,1(CTG_X0099_NE_1),,3087-CTG_X0099_NE_1,Sep-87,4-ISV3,1(CTG_X0343_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15124,14704,"33E1,28MHz,1024QAMLight","33E1,28MHz,1024QAMLight",19,19,12.5,11.4,-10,-10,-41.9,-42.7,12.5,11.4,12.5,10.6,-41.9,-42.1,-43,-42.7,33,33,33,33,100,100,158.917,158.917,40580,142147,1030,834,11928,53525,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAMStrong,16QAMStrong,/,/,/,/,1814,-
ring 01,,3087-CTG_X0099_NE_1,Sep-87,6-ISV3,1(2784-CTG_X0100_NE_1),,2784-CTG_X0100_NE_1,Sep-84,3-ISV3,1(3087-CTG_X0099_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"31E1,28MHz,1024QAMLight","31E1,28MHz,1024QAMLight",9,9,0,0.1,-10,-10,-46.6,-46.8,0.1,0.1,0,0,-45.9,-45.9,-46.6,-46.8,31,31,31,31,100,100,163.068,163.068,30334,92510,332,278,4997,24382,Enabled,Enabled,-48,-48,-53,-53,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAMStrong,16QAMStrong,/,/,/,/,1816,-
ring 01,,3087-CTG_X0099_NE_1,Sep-87,3-ISV3,1(CTG_X0390_NE_1),,2786-CTG_X0390_NE_1,Sep-86,3-ISV3,1(CTG_X0099_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24584,25592,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",4,4,0,0,-39.5,-39.5,-44.4,-45.1,0.1,0.1,0,0,-44,-44.9,-44.4,-45.2,1,1,1,1,100,100,86.128,86.128,10421,40641,253,241,3444,11274,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1817,-
ring 01,,3087-CTG_X0099_NE_1,Sep-87,5-ISV3,1(2786-CTG_X0390_NE_1),,2786-CTG_X0390_NE_1,Sep-86,5-ISV3,1(3087-CTG_X0099_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24584,25592,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",4,4,-55,-55,-10,-10,-43.8,-45.1,-55,-55,-55,-55,-43.7,-44.9,-44,-45.2,1,1,0,0,0,0,86.128,86.128,10434,42180,257,245,3444,11274,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1818,-
