Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
Chain_01,,5991-DHK_X0101_NE_1,Sep-91,3-ISV3,1(5992-DHK_X1120_NE_2),,5992-DHK_X1120_NE_2,Sep-92,3-ISV3,1(5991-DHK_X0101_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11519,10989,"3E1,28MHz,1024QAMLight","3E1,28MHz,1024QAMLight",12,12,15.1,14.8,-10,-10,-45,-44.4,15.1,14.8,14,14,-44.2,-43.3,-46.5,-45.8,3,3,1,1,33.33,33.33,221.173,221.173,107363,25564,1142,1382,33543,9726,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8725,-
Chain_01,,5991-DHK_X0101_NE_1,Sep-91,5-ISV3,1(5992-DHK_X1120_NE_2),,5992-DHK_X1120_NE_2,Sep-92,5-ISV3,1(5991-DHK_X0101_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11519,10989,"3E1,28MHz,1024QAMLight","3E1,28MHz,1024QAMLight",12,12,-55,-55,-10,-10,-50.1,-49.3,-55,-55,-55,-55,-49.3,-48.2,-51.7,-50.7,3,3,0,0,0,0,221.173,221.173,110320,25552,1139,1401,33543,9726,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8726,-
ring01,,3537-DHK_X0673_NE_1,Sep-37,3-ISV3,1(3532-DHK_X5260_NE_1),,3532-DHK_X5260_NE_1,Sep-32,3-ISV3,1(3537-DHK_X0673_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8265.5,7999.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",20,20,11.1,12,-10,-10,-47.9,-47.7,16,18.1,6.4,9,-45,-45,-50.5,-51.1,0,0,0,0,-,-,53.699,53.699,9004,41345,209,153,2487,10051,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,8729,-
Chain_01,,4224-DHK_R3701_NE_1,Sep-24,6-ISV3,1(4930-DHK_X2060_NE_1),,4930-DHK_X2060_NE_1,Sep-30,5-ISV3,1(4224-DHK_R3701_NE_1),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8269,8003,"8E1,28MHz,128QAM","8E1,28MHz,128QAM",26,26,-55,-55,-10,-10,-40.2,-39,-55,-55,-55,-55,-37.5,-37.1,-43.3,-42.2,8,8,0,0,0,0,143.321,143.321,16047,71775,404,321,5689,20341,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,8743,-
Chain_01,,4224-DHK_R3701_NE_1,Sep-24,4-ISV3,1(4930-DHK_X2060_NE_1),,4930-DHK_X2060_NE_1,Sep-30,3-ISV3,1(4224-DHK_R3701_NE_1),Hybrid(109Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8276,8010,"8E1,14MHz,1024QAMLight","8E1,14MHz,1024QAMLight",26,26,26,25.9,-10,-10,-34.5,-33.6,26,25.9,22.8,22.8,-32.2,-31.9,-37.8,-36.8,8,8,0,0,0,0,92.144,92.144,16595,71097,388,308,5689,20341,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,8744,-
l-5,,5063-DHK_X1639_NE_2,Sep-63,5-ISV3,1(5072-DHK_X1149_NE_1),,5072-DHK_X1149_NE_1,Sep-72,5-ISV3,1(5063-DHK_X1639_NE_2),Hybrid(136Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18985,17975,"0E1,28MHz,64QAM","0E1,28MHz,64QAM",0,0,-55,-55,-10,-10,-48.8,-47.9,-55,-55,-55,-55,-48.1,-47.9,-50.2,-50.4,0,0,0,0,-,-,135.193,135.193,37946,83023,428,514,4356,17725,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,64QAM,64QAM,QPSKStrong,QPSKStrong,/,1024QAMLight,/,QPSKStrong,8747,-
Chain_01,,5879-DHK_X2674_NE_1,Sep-79,3-ISV3,1(5892-DHK_X2176_NE_2),,5892-DHK_X2176_NE_2,Sep-92,3-ISV3,1(5879-DHK_X2674_NE_1),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",24,24,6.5,6.5,-10,-10,-54.8,-55.2,12.6,16.6,6.5,6.4,-49.9,-50.2,-58.4,-58.5,0,0,0,0,-,-,159.919,159.919,148875,42955,1738,2281,55015,18892,Enabled,Enabled,-53.5,-53.5,-58.5,-58.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,16QAM,16QAM,/,/,/,/,8750,-
Chain_01,,5879-DHK_X2674_NE_1,Sep-79,5-ISV3,1(5892-DHK_X2176_NE_2),,5892-DHK_X2176_NE_2,Sep-92,5-ISV3,1(5879-DHK_X2674_NE_1),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",24,24,-55,-55,-10,-10,-60.3,-60.5,-55,-55,-55,-55,-55.6,-55.6,-64,-63.9,0,0,0,0,-,-,159.919,159.919,146696,42657,1789,2282,55014,18892,Enabled,Enabled,-53.5,-53.5,-58.5,-58.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,16QAM,16QAM,/,/,/,/,8751,-
l-2,,3450-DHK_G5229_NE_1,Sep-50,3-ISV3,1(5059-DHK_X2503_NE_1),,5059-DHK_X2503_NE_1,Sep-59,5-ISV3,1(3450-DHK_G5229_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8279.5,8013.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",23,23,22.9,22.9,-10,-10,-50.5,-48.1,23.1,23.2,20.8,20.8,-42.1,-42.2,-61.8,-58.2,0,0,0,0,-,-,53.699,53.699,32956,8457,70,102,5012,1426,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,8760,-
l-1,,2127-DHK_X0354_NE_1,Sep-27,6-ISV3,1(5515-DHK_X0451_NE_1),,5515-DHK_X0451_NE_1,Sep-15,3-ISV3,1(2127-DHK_X0354_NE_1),Hybrid(368Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18998.75,17988.75,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",18,18,10.5,8,-10,-10,-46.7,-45.4,10.5,8.5,10.4,8,-46.2,-45.4,-47.4,-46.7,0,0,0,0,-,-,367.478,367.478,1,68,0,1,0,3,Enabled,Enabled,-44,-44,-49,-49,Disabled,/,-,/,-,/,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8764,-
l-1,,1135-DHK_X3899_NE_1,9-1135,4-ISV3,1(DHK_X4267_NE_1),,1154-DHK_X4267_NE_1,9-1154,3-ISV3,1(DHK_X3899_NE_1),Hybrid(196Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[37044.000,37632.000]","[38304.000,38892.000]",XMC-2,XMC-2,TX low,TX high,37128,38388,"0E1,28MHz,512QAM","0E1,28MHz,512QAM",0,0,0,0,-10,-10,-34.4,-34.4,0.1,0.1,0,0,-34.4,-34.4,-36.9,-36.5,0,0,0,0,-,-,195.675,195.675,29559,111442,881,780,11140,42506,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,/,/,/,/,8765,-
l-4,,1135-DHK_X3899_NE_1,9-1135,1-ISV3,1(578-DHK_X0440_NE_1-M),,578-DHK_X0440_NE_1,9-578,4-ISV3,1(1135-DHK_X3899_NE_1),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38416,37156,"1E1,28MHz,128QAM","1E1,28MHz,128QAM",0,0,0,0.1,-10,-10,-42.6,-40.9,0,0.1,0,0,-42,-40.5,-42.6,-41,1,1,1,1,100,100,157.844,157.844,37165,106456,409,360,8643,31186,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,256QAM,/,QPSKStrong,8768,-
l-5,,1135-DHK_X3899_NE_1,9-1135,2-ISV3,1(578-DHK_X0440_NE_1-S),,578-DHK_X0440_NE_1,9-578,6-ISV3,1(1135-DHK_X3899_NE_1),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38416,37156,"1E1,28MHz,128QAM","1E1,28MHz,128QAM",0,0,-55,-55,-10,-10,-43.2,-42,-55,-55,-55,-55,-42.8,-41.9,-43.2,-42.4,1,1,0,0,0,0,157.844,157.844,33802,97536,449,349,8643,31187,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,256QAM,/,QPSKStrong,8769,-
l-1,,6001-DHK_X4688_NE_1,Sep-01,3-ISV3,1(5515-DHK_X0451_NE_1),,5515-DHK_X0451_NE_1,Sep-15,4-ISV3,1(6001-DHK_X4688_NE_1),Hybrid(52Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38426.5,37166.5,"0E1,7MHz,1024QAM","0E1,7MHz,1024QAM",0,0,0,-0.1,-10,-10,-38,-38,0.2,0.2,0,-0.1,-37.8,-37.5,-38.2,-38,0,0,0,0,-,-,51.142,51.142,42096,10692,173,234,10645,3950,Enabled,Enabled,-53,-53,-58,-58,/,/,/,/,/,/,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8783,-
l-2,,5516-DHK_X5097_NE_1,Sep-16,3-ISV3,1(5515-DHK_X0451_NE_1),,5515-DHK_X0451_NE_1,Sep-15,5-ISV3,1(5516-DHK_X5097_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25634,24626,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",6,6,0.1,0.1,-10,-10,-37.6,-38.1,0.1,0.1,0,0,-37.1,-37.3,-37.6,-38.1,0,0,0,0,-,-,108.702,108.702,96989,26084,0,0,22519,6894,Enabled,Enabled,-41,-41,-46,-46,/,/,/,/,/,/,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8784,-
Danger,,5929-DHK_X3221_NE_1,Sep-29,5-ISV3,1(5937-DHK_X2840_NE_1),,5937-DHK_X2840_NE_1,Sep-37,3-ISV3,1(5929-DHK_X3221_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8262,7996,"4E1,14MHz,256QAM","4E1,14MHz,256QAM",23,23,11.6,11,-10,-10,-56.5,-55.5,15.6,18.6,8.5,6.5,-53.6,-53.5,-58.5,-58.6,4,4,1,1,25,25,79.905,79.905,44369,10572,172,268,12784,4147,Enabled,Enabled,-53.5,-53.5,-58.5,-58.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,8802,-
l-2,,5931-DHK_W0285_NE_1,Sep-31,3-ISV3,1(5937-DHK_X2840_NE_1),,5937-DHK_X2840_NE_1,Sep-37,5-ISV3,1(5931-DHK_W0285_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11568,11038,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",18,18,1.9,1.4,-10,-10,-52.9,-53.5,7.2,4.1,1.1,0,-50.1,-50.2,-54.6,-54.9,1,1,1,1,100,100,86.128,86.128,/,13663,/,417,/,4747,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,8803,-
ring03,,5929-DHK_X3221_NE_1,Sep-29,3-ISV3,1(4779-DHK_X4253_NE_1),,4779-DHK_X4253_NE_1,Sep-79,5-ISV3,1(5929-DHK_X3221_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8244.5,7978.5,"4E1,7MHz,1024QAMLight","4E1,7MHz,1024QAMLight",23,23,10.1,9,-10,-10,-56.9,-55.2,23.1,23,10.1,9,-53.5,-53.6,-60.8,-61,4,4,1,1,25,25,45.475,45.475,33900,4416,4,0,4498,1369,Enabled,Enabled,-53.5,-53.5,-58.5,-58.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,256QAM,256QAM,QPSKStrong,QPSKStrong,8804,-
l-1,,6008-DHK_X2285_NE_2,Sep-08,3-ISV3,1(6000-DHK_X2286_NE_1),,6000-DHK_X2286_NE_1,Sep-00,3-ISV3,1(6008-DHK_X2285_NE_2),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17947.5,18957.5,"6E1,28MHz,128QAM","6E1,28MHz,128QAM",15,15,14.5,11.6,-10,-10,-44.5,-43.8,15.4,13.5,14.5,11.6,-42.5,-42.8,-44.5,-43.8,6,6,6,6,100,100,147.47,147.47,31427,105027,379,317,6842,28859,Enabled,Enabled,-41,-41,-46,-46,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8816,-
l-2,,5997-DHK_B4487_NE_1,Sep-97,3-ISV3,1(6000-DHK_X2286_NE_1),,6000-DHK_X2286_NE_1,Sep-00,4-ISV3,1(5997-DHK_B4487_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24580.5,25588.5,"1E1,7MHz,256QAM","1E1,7MHz,256QAM",0,0,0,0,-10,-10,-40.3,-40.3,0.1,0.2,-0.1,-0.1,-39.2,-39.2,-40.3,-40.3,1,1,1,1,100,100,40.215,40.215,17020,2938,3,4,263,29,Enabled,Enabled,-55,-55,-60,-60,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,/,/,/,/,8817,-
l-1,,6174-DHK_X0824_NE_2,Sep-74,3-ISV3,1(DHK_X3399_NE_1),,1392-DHK_X3399_NE_1,9-1392,3-ISV3,1(6174-DHK_X0824_NE_2),Hybrid(101Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17940.625,18950.625,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",8,4,0,1.9,-10,-10,-41.2,-41.9,0.2,1.9,0,0,-41.2,-41.6,-43.1,-41.9,0,0,0,0,-,-,100.143,100.143,22146,/,628,/,5499,/,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,8836,-
PLA_M,,2711-DHK_X4363_NE_1,Sep-11,4-ISV3,1(5126-DHK_X3290_NE_2),,5126-DHK_X3290_NE_2,Sep-26,4-ISV3,1(2711-DHK_X4363_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"4E1,28MHz,256QAM","4E1,28MHz,256QAM",13,13,0,0,-10,-10,-47.6,-48.3,0.1,0.1,0,0,-44.7,-44.5,-47.6,-48.3,4,4,3,3,75,75,174.176,174.176,49116,183909,2665,2750,19386,70718,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAMStrong,16QAMStrong,/,/,/,/,8837,-
l-1,,5823-DHK_R5462_NE_1,Sep-23,3-ISV3,1(2182-DHK_X1120_NE_1),,2182-DHK_X1120_NE_1,Sep-82,5-ISV3,1(5823-DHK_R5462_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11449.5,10919.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",8,8,2.1,8,-10,-10,-47.7,-49.1,8.2,8.2,2.1,7.9,-41.7,-41.1,-47.7,-49.1,0,0,0,0,-,-,42.269,42.269,43157,/,149,/,9758,/,Enabled,Disabled,-45,-,-50,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8855,-
Danger,,5180-DHK_X0483_NE_1,Sep-80,6-ISV3,1(5178-DHK_X2647_NE_1),,5178-DHK_X2647_NE_1,Sep-78,5-ISV3,1(5180-DHK_X0483_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11432,10902,"5E1,14MHz,1024QAMLight","5E1,14MHz,1024QAMLight",18,18,14,14.1,-10,-10,-43.7,-44.2,14,14.1,-55,-55,-39.4,-38.9,-49.9,-61.3,5,5,0,0,0,0,98.353,98.353,63535,15438,337,510,17143,5704,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,8856,-
l-1,,1428-DHK_X0310_NE_1,9-1428,4-ISV3,1(DHK_X0427_NE_1),,803-DHK_X0427_NE_1,9-803,3-ISV3,1(DHK_X0310_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24584,25592,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",0,0,2,3,-10,-10,-46.9,-46.6,2,4.5,1,3,-45.4,-46.6,-46.9,-47.1,0,0,0,0,-,-,88.203,88.203,26778,56597,124,129,1748,9323,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,8859,-
l-2,,6087-DHK_R4685_NE_1,Sep-87,3-ISV3,1(5546-DHK_X1867_NE_2),,5546-DHK_X1867_NE_2,Sep-46,5-ISV3,1(6087-DHK_R4685_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8234,7968,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",23,23,16.9,17,-10,-10,-50.1,-48.8,18.2,17,14,12.9,-48.2,-48.1,-52.9,-52.9,0,0,0,0,-,-,108.702,108.702,48545,11453,509,315,16763,4899,Enabled,Enabled,-48,-48,-53,-53,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,8860,-
BSC Tertiary Protection Link,,2714-DHK_X0205_NE_1,Sep-14,4-ISV3,1(DHK_X9003_NE_2),,3350-DHK_X9003_NE_2,Sep-50,5-ISV3,1(DHK_X0205_NE_1),Hybrid(196Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,8003,8269,"12E1,28MHz,512QAM","12E1,28MHz,512QAM",19,19,16,14.1,-10,-10,-43.5,-42.4,20.1,19.1,15,14.1,-40.1,-40.1,-44.8,-45.3,12,12,5,5,41.67,41.67,170.737,170.737,37,39,1,1,12,12,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,/,/,/,/,8886,-
